,FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime,exists_in_netfile
81,06_55C0290,Bridge,-117.94186940000002,33.8748,1936,1,11.3,13.1,24.4,0,1-span;0.0 deg skew;13.1 m structure Length;11.3 m Max Span Length; Built 1936;NBI 101,101,HWB3,MSRC-Slab,760,5.441464762000001,583.6953787,No Damage,0.0,0,0
82,06_55C0201,Bridge,-118.00240559999999,33.86200556,1958,1,10.7,11.0,22.2,0,1-span;0.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,7.789925454,324.4114928,No Damage,0.0,0,0
83,06_55C0289,Bridge,-117.96729170000002,33.87757778,1957,2,10.7,21.9,20.7,16,2-span;16.0 deg skew;21.9 m structure Length;10.7 m Max Span Length; Built 1957;NBI 201,201,HWB10,MCRC-Slab,760,5.533878357000001,569.37783,No Damage,0.0,0,0
84,06_55C0671,Bridge,-117.924275,33.81411111,2000,6,39.9,203.3,11.0,0,6-span;0.0 deg skew;203.3 m structure Length;39.9 m Max Span Length; Built 2000;NBI 605,605,HWB2,Unknown,760,10.36543979,187.51658989999999,No Damage,0.0,0,0
85,06_55C0673,Bridge,-117.9220556,33.81716667,2000,2,70.0,140.8,10.1,0,2-span;0.0 deg skew;140.8 m structure Length;70 m Max Span Length; Built 2000;NBI 605,605,HWB23,Unknown,760,10.12890896,196.4443009,No Damage,0.0,0,0
86,06_55C0613,Bridge,-117.9760056,33.85362222,1999,1,46.5,47.5,36.0,33,1-span;33.0 deg skew;47.5 m structure Length;46.5 m Max Span Length; Built 1999;NBI 505,505,HWB4,Unknown,760,7.081435066,383.7058187,No Damage,0.0,0,0
87,06_55C0386,Bridge,-117.924225,33.87506667,1930,1,9.1,9.4,24.4,30,1-span;30.0 deg skew;9.4 m structure Length;9.1 m Max Span Length; Built 1930;NBI 104,104,HWB3,Unknown,760,5.870182614,520.8163685,No Damage,0.0,0,0
88,06_55C0404,Bridge,-117.9840639,33.79001389,1959,2,3.7,10.1,24.4,38,2-span;38.0 deg skew;10.1 m structure Length;3.7 m Max Span Length; Built 1959;NBI 119,119,HWB5,Unknown,760,12.89706531,119.08817520000001,No Damage,0.0,0,0
89,06_55C0405,Bridge,-117.9804083,33.79241111,1963,2,3.4,7.3,15.2,0,2-span;0.0 deg skew;7.3 m structure Length;3.4 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,12.58021971,125.52598710000001,No Damage,0.0,0,0
90,06_55C0406,Bridge,-117.9674361,33.79769167,1963,2,3.0,6.7,23.9,0,2-span;0.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,11.83555362,142.7088672,No Damage,0.0,0,0
91,06_55C0407,Bridge,-117.9636861,33.79770556,1963,2,3.0,6.7,15.2,0,2-span;0.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,11.79087577,143.8414928,No Damage,0.0,0,0
92,06_55C0408,Bridge,-117.97510279999999,33.79589167,1963,2,5.5,12.0,30.6,52,2-span;52.0 deg skew;12.0 m structure Length;5.5 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,12.132655499999998,135.4824425,No Damage,0.0,0,1
